"","Country","Level of consumption (at farm gate)","Level of production","Producer price (at farm gate)","Cluster","Year"
"1","Argentina",4097774.965525,17680974.570125,334984142.51625,1,2005
"2","Australia",1684538.63642933,5831783.66016667,468389491.506167,2,2005
"3","Brazil",57737302.8105714,78066594.0571429,412006222.223429,3,2005
"4","Canada",4718660,8629361.9939,494590049.5956,1,2005
"5","Chile",1421987.018325,993325.4692225,522985027.54,2,2005
"6","China (People's Republic of)",65428656.83385,65578233.3333333,391805272.556667,3,2005
"7","Colombia",1511004.99768,1379066.483498,886431310.806,2,2005
"8","Costa Rica",167243.6271925,195371.695285,873823190.945,2,2005
"9","European Union",33372444.6034,30479201.4285714,535771492.15,4,2005
"10","Iceland",3563,3735,3813788996.7,5,2005
"11","India",28744691.1706667,34261084.36,228418190.427167,4,2005
"12","Indonesia",12172377.3968333,11787359.1333333,732494944.638333,1,2005
"13","Israel",442391.5,124703.21,1631920089.735,6,2005
"14","Japan",4697186.28572,2302652.6,2013010766.37,6,2005
"15","Kazakhstan",2673845.61781,3065820,499582434.7125,2,2005
"16","Korea",2389333.33333333,1730089.33333333,4080062499.26667,5,2005
"17","Mexico",11585766.8807143,10847093.9271429,432329231.817714,1,2005
"18","New Zealand",232040.430831,286098.7709175,565470336.8175,2,2005
"19","Norway",298266.666666667,251333.333333333,1517966784.64667,6,2005
"20","Philippines",4777856.275,4316881.6,613377677.085,1,2005
"21","Russia",10740547.2828,11835840.10116,515133948.8564,1,2005
"22","South Africa",5775356.345,8771816.5,515334983.76175,1,2005
"23","Switzerland",448385.5,267650,1604582680.3425,6,2005
"24","Türkiye",5733750,6187250,1219696982.145,2,2005
"25","Ukraine",4273614.914346,5810813.788,469557838.9976,2,2005
"26","United States",57105179.5471833,75091803.3996833,561286267.943667,3,2005
"27","Viet Nam",7237985.5219282,8355793.5587296,692873103.756,1,2005
"28","Argentina",5850866.696775,13908066.466225,382743988.441,1,2008
"29","Australia",1797535.64534,4926893.82438333,483580340.59,1,2008
"30","Brazil",74364715.2722857,111988067.571429,588243091.357571,2,2008
"31","Canada",4713200,9723755.84936,534635484.082,1,2008
"32","Chile",1405809.6798925,759457.57525,614859308.36,1,2008
"33","China (People's Republic of)",74023540.82525,75352675,608786282.47,3,2008
"34","Colombia",1745034.78333,1320939.216652,1065797989.696,1,2008
"35","Costa Rica",184581.39511,190342.84787,932246176.6775,1,2008
"36","European Union",34083360.3032,35767675.6808571,627193187.497143,4,2008
"37","Iceland",3455.855,3805,3137878851.3,5,2008
"38","India",34506590.58095,37758568.4165,247186235.703333,4,2008
"39","Indonesia",13865714.2213333,13529640.3333333,902514243.238333,1,2008
"40","Israel",426255.84482,69336.774336,2302114382.14,6,2008
"41","Japan",4525165.71428,2278821.3,1716439450.294,6,2008
"42","Kazakhstan",2593634.5632075,3403286.825,694869827.8375,1,2008
"43","Korea",2175333.33333333,1749672.66666667,3297872541.43333,5,2008
"44","Mexico",13584494.1177143,11717072.8571429,517469433.455571,1,2008
"45","New Zealand",272925.4863725,328168.64725,527052666.3475,1,2008
"46","Norway",301384.01886,286923.333333333,1650191357.79333,6,2008
"47","Philippines",5688333,5192467.775,766859954.595,1,2008
"48","Russia",12019873.2672,16238091.06666,683874157.092,1,2008
"49","South Africa",6178391.98175,7879976,565167362.07525,1,2008
"50","Switzerland",484100,273525,1791856021.7475,6,2008
"51","Türkiye",6041750,5895250,1308718869.08,1,2008
"52","Ukraine",4361800,8090719.56,627679883.963,1,2008
"53","United States",61261138.7420833,80440192.2025167,564095602.626667,3,2008
"54","Viet Nam",8174403.663654,9183098.18528,868207175.506,1,2008
"55","Argentina",10481615.93315,28154473.807575,920666668.53325,1,2015
"56","Australia",1714454.02830483,5686179.60050483,629121350.085,1,2015
"57","Brazil",86519673.7918571,125303200,686621673.245143,2,2015
"58","Canada",4986040,10506123.0146,1046535436.648,1,2015
"59","Chile",1591009.608895,856639.788115,927753729.89,1,2015
"60","China (People's Republic of)",88378333.3333333,95210193.3516667,1504008337.15333,3,2015
"61","Colombia",1984352.516669,1265977.673864,1323025358.376,1,2015
"62","Costa Rica",158265.60491375,201313.24101875,1972191068.6975,4,2015
"63","European Union",36577434.2456857,36915276.5882857,741444133.285714,5,2015
"64","Iceland",3610,3816,4527407236.7,6,2015
"65","India",43690224.4356667,42761743.473,428742768.078333,5,2015
"66","Indonesia",14398505.57235,16602844.8333333,1466873610.09167,1,2015
"67","Israel",446099.5,113816,3352636611.805,4,2015
