"","Country","Level of consumption (at farm gate)","Level of production","Producer price (at farm gate)","Cluster","Year","BetweenTotalRatio"
"1","Argentina",4097774.965525,17680974.570125,334984142.51625,"3",2005,0.881846624529007
"2","Australia",1684538.63642933,5831783.66016667,468389491.506167,"3",2005,0.881846624529007
"3","Brazil",57737302.8105714,78066594.0571429,412006222.223429,"1",2005,0.881846624529007
"4","Canada",4718660,8629361.9939,494590049.5956,"3",2005,0.881846624529007
"5","Chile",1421987.018325,993325.4692225,522985027.54,"3",2005,0.881846624529007
"6","China (People's Republic of)",65428656.83385,65578233.3333333,391805272.556667,"1",2005,0.881846624529007
"7","Colombia",1511004.99768,1379066.483498,886431310.806,"3",2005,0.881846624529007
"8","Costa Rica",167243.6271925,195371.695285,873823190.945,"3",2005,0.881846624529007
"9","European Union",33372444.6034,30479201.4285714,535771492.15,"1",2005,0.881846624529007
"10","Iceland",3563,3735,3813788996.7,"4",2005,0.881846624529007
"11","India",28744691.1706667,34261084.36,228418190.427167,"1",2005,0.881846624529007
"12","Indonesia",12172377.3968333,11787359.1333333,732494944.638333,"3",2005,0.881846624529007
"13","Israel",442391.5,124703.21,1631920089.735,"2",2005,0.881846624529007
"14","Japan",4697186.28572,2302652.6,2013010766.37,"2",2005,0.881846624529007
"15","Kazakhstan",2673845.61781,3065820,499582434.7125,"3",2005,0.881846624529007
"16","Korea",2389333.33333333,1730089.33333333,4080062499.26667,"4",2005,0.881846624529007
"17","Mexico",11585766.8807143,10847093.9271429,432329231.817714,"3",2005,0.881846624529007
"18","New Zealand",232040.430831,286098.7709175,565470336.8175,"3",2005,0.881846624529007
"19","Norway",298266.666666667,251333.333333333,1517966784.64667,"2",2005,0.881846624529007
"20","Philippines",4777856.275,4316881.6,613377677.085,"3",2005,0.881846624529007
"21","Russia",10740547.2828,11835840.10116,515133948.8564,"3",2005,0.881846624529007
"22","South Africa",5775356.345,8771816.5,515334983.76175,"3",2005,0.881846624529007
"23","Switzerland",448385.5,267650,1604582680.3425,"2",2005,0.881846624529007
"24","Türkiye",5733750,6187250,1219696982.145,"2",2005,0.881846624529007
"25","Ukraine",4273614.914346,5810813.788,469557838.9976,"3",2005,0.881846624529007
"26","United States",57105179.5471833,75091803.3996833,561286267.943667,"1",2005,0.881846624529007
"27","Viet Nam",7237985.5219282,8355793.5587296,692873103.756,"3",2005,0.881846624529007
"28","Argentina",5850866.696775,13908066.466225,382743988.441,"3",2008,0.881102591888945
"29","Australia",1797535.64534,4926893.82438333,483580340.59,"3",2008,0.881102591888945
"30","Brazil",74364715.2722857,111988067.571429,588243091.357571,"1",2008,0.881102591888945
"31","Canada",4713200,9723755.84936,534635484.082,"3",2008,0.881102591888945
"32","Chile",1405809.6798925,759457.57525,614859308.36,"3",2008,0.881102591888945
"33","China (People's Republic of)",74023540.82525,75352675,608786282.47,"1",2008,0.881102591888945
"34","Colombia",1745034.78333,1320939.216652,1065797989.696,"3",2008,0.881102591888945
"35","Costa Rica",184581.39511,190342.84787,932246176.6775,"3",2008,0.881102591888945
"36","European Union",34083360.3032,35767675.6808571,627193187.497143,"3",2008,0.881102591888945
