"Commodity","Year","Correlation","Covariance"
"Wheat",2005,-0.255381118667293,-627685113819589
"Wheat",2006,-0.235402957072987,-555610566101596
"Wheat",2007,-0.253095536489969,-570204765773623
"Wheat",2008,-0.235016998386665,-556832000232857
"Wheat",2009,-0.139974089632133,-458045293667101
"Wheat",2010,-0.162920996003682,-548336306794214
"Wheat",2011,-0.126786253396153,-442918065380224
"Wheat",2012,-0.0958560370657963,-387845001936172
"Wheat",2013,-0.104188193203233,-293246041337937
"Wheat",2014,-0.0464304323722721,-142883561653756
"Wheat",2015,-0.00464133229041232,-16118757050064.9
"Wheat",2016,-0.0492004500752242,-186309591268205
"Wheat",2017,0.0145179261437983,52119374745216.2
"Wheat",2018,-0.03497407238061,-122724336077433
"Wheat",2019,-0.0603034925955878,-234469509839160
"Wheat",2020,-0.0351667187600362,-145468366744935
"Maize",2005,-0.249559700481866,-722984073545100
"Maize",2006,-0.225299697877653,-641652844128818
"Maize",2007,-0.180918653159832,-573903795427363
"Maize",2008,-0.246351863268703,-720754005821416
"Maize",2009,-0.16472496898614,-571482494564975
"Maize",2010,-0.0367753917837673,-151072053436835
"Maize",2011,-0.0364101023833895,-159914885878976
"Maize",2012,0.0968957166687745,394123633702792
"Maize",2013,-0.0699309007034587,-309983360265244
"Maize",2014,-0.0981667803579302,-472467316570809
"Maize",2015,-0.117023866012248,-658510264678318
"Maize",2016,-0.209889025545151,-1187731573432889
"Maize",2017,-0.0789468857704444,-512465005414938
"Maize",2018,-0.041318620970567,-249697642668112
"Maize",2019,-0.0682713336986833,-413397371749523
"Maize",2020,0.139547482390987,797011598656515
"Oats",2005,-0.306473241420903,-76643107398454.1
"Oats",2006,-0.397584195812303,-105275166065962
"Oats",2007,-0.336103194033189,-69629791150929.5
"Oats",2008,-0.314794058832386,-42669835262439
"Oats",2009,-0.374885721890188,-63093718216047.2
"Oats",2010,-0.480809823626079,-94229179729886.9
"Oats",2011,-0.400024051625099,-57184768911378.6
"Oats",2012,-0.474787546253063,-83861016094570.8
"Oats",2013,-0.417972013215733,-75820421181586.2
"Oats",2014,-0.505872776929227,-95654137088475
"Oats",2015,-0.470560405551678,-87336045135332.3
"Oats",2016,-0.411801767223449,-88307988747748
"Oats",2017,-0.453066750716043,-60927584410775.3
"Oats",2018,-0.471107490542667,-74090187784675.1
"Oats",2019,-0.485038460121836,-64611967203240.8
"Oats",2020,-0.490435960179336,-66449255902801.3
"Rice",2005,-0.182705188581041,-2705938555623260
"Rice",2006,-0.185317509794266,-2929080297350650
