"Year","Correlation","Covariance"
2005,-0.183597122942684,-9580419032890416
2006,-0.186230634887283,-10848195406037808
2007,-0.174178761265734,-11395831061575902
2008,-0.187153536584553,-11780214216154904
2009,-0.178240599893454,-12048291941379390
2010,-0.182026971178997,-14922500132972312
2011,-0.197249325802391,-16256812106729532
2012,-0.194393068129326,-16910299562909914
2013,-0.18202352314901,-17049406445948908
2014,-0.179970923844759,-17758976009407030
2015,-0.175367417923294,-20568249767640620
2016,-0.170755727139398,-20831198833488984
2017,-0.173763832034662,-20909133340966184
2018,-0.169327697090089,-20148457620909152
2019,-0.16638331552008,-20945684014967676
2020,-0.169397419027743,-20207586822836720
