"Commodity","Year","Correlation","Covariance"
"Wheat",2005,-0.341351956263837,-874492455739685
"Wheat",2006,-0.311725996336474,-750075546928393
"Wheat",2007,-0.315107188384351,-747989308580933
"Wheat",2008,-0.31874838124304,-864940210713576
"Wheat",2009,-0.248041462533776,-883174306964063
"Wheat",2010,-0.237121806083922,-859299530877675
"Wheat",2011,-0.251361254683782,-885939281934226
"Wheat",2012,-0.143218703683991,-597077862292012
"Wheat",2013,-0.233583919035457,-742073215422176
"Wheat",2014,-0.147633808174793,-532624408282290
"Wheat",2015,-0.0739076239540271,-310771393537765
"Wheat",2016,-0.161134125722767,-718452164671463
"Wheat",2017,-0.105441935044289,-431886477415592
"Wheat",2018,-0.15322421792799,-570863770244553
"Wheat",2019,-0.174048491318595,-764857013746743
"Wheat",2020,-0.177870007580046,-765663857788268
"Maize",2005,-0.257896643835247,-904712768832904
"Maize",2006,-0.241925301208323,-777302378255019
"Maize",2007,-0.214278496936863,-832099875028049
"Maize",2008,-0.268358788508654,-931491535452821
"Maize",2009,-0.192848140181522,-783814098405135
"Maize",2010,-0.0685289328110948,-308607693300940
"Maize",2011,-0.0761069231278754,-375973408728788
"Maize",2012,0.0280052791122091,125932638845779
"Maize",2013,-0.104129404015718,-572516560436726
"Maize",2014,-0.0962205319129569,-586184556682239
"Maize",2015,-0.122707476538327,-862489273624053
"Maize",2016,-0.245808379409291,-1728211595063294
"Maize",2017,-0.142326967292763,-1002821874687667
"Maize",2018,-0.103733640545843,-675996314522717
"Maize",2019,-0.14557201626584,-923831016825734
"Maize",2020,0.0540979675865858,332649493864451
"Oats",2005,-0.487063823632518,-74430539185769.1
"Oats",2006,-0.572742039690249,-97464531392229.8
"Oats",2007,-0.401849666166818,-92697555157556.7
"Oats",2008,-0.39469108908363,-58455173481729
"Oats",2009,-0.403177658381464,-68415236031239.1
"Oats",2010,-0.463799240792361,-84461170313329.8
"Oats",2011,-0.417941980725001,-60166779923905.1
"Oats",2012,-0.440442439115536,-73546854322596.4
"Oats",2013,-0.530745262432026,-101052773593222
"Oats",2014,-0.54353060157818,-116230799613372
