"Year","Correlation","Covariance"
2005,-0.176246542666875,-11814043163484986
2006,-0.170401121135445,-12773322247838194
2007,-0.163102676166985,-13615456928147044
2008,-0.169999270573549,-15026963778095306
2009,-0.160915285291792,-15639251033735694
2010,-0.159538831753021,-18870665200571972
2011,-0.172051518123917,-21205198839143228
2012,-0.173163713575338,-21647599987202348
2013,-0.175329544523967,-22135621503870048
2014,-0.174517084024679,-22924836665650672
2015,-0.16958613682756,-26461395085564100
2016,-0.163913386819673,-27338736372357184
2017,-0.169821596184274,-25895954496921188
2018,-0.166848390001333,-23984893249072832
2019,-0.162979581693534,-25122565760983240
2020,-0.160328688883517,-25232036316963848
