"Commodity","Year","Correlation","Covariance"
"Wheat",2005,0.985959524142439,3133841913663475
"Wheat",2006,0.989819274448734,2915984628285155
"Wheat",2007,0.987076465911298,2760672967747298
"Wheat",2008,0.980328632489656,3566635498105496
"Wheat",2009,0.982639799759009,3361396791911378
"Wheat",2010,0.980338870229319,3260988758351657
"Wheat",2011,0.976800886850399,3520709098270437
"Wheat",2012,0.980081083804274,3460302714066020
"Wheat",2013,0.974952916567505,3484788561993312
"Wheat",2014,0.984560030410742,3623219693596902
"Wheat",2015,0.987040769390584,3751526695748332
"Wheat",2016,0.979962418539644,3711860184574599
"Wheat",2017,0.979321777458054,3465269439446158
"Wheat",2018,0.981399499520175,3333155396468806
"Wheat",2019,0.980940423871476,3590609030430918
"Wheat",2020,0.965995185959566,3538631988282851
"Maize",2005,0.998275463968531,8394682448494585
"Maize",2006,0.995365615011499,8339056892377848
"Maize",2007,0.995465248916576,10939599412365576
"Maize",2008,0.998360028420009,10291868465120832
"Maize",2009,0.997971135385506,11455155894617596
"Maize",2010,0.998169002328938,11475618975084922
"Maize",2011,0.997558647369239,11408045216507490
"Maize",2012,0.989549119404422,10194428079954150
"Maize",2013,0.993176233965665,13371426827427544
"Maize",2014,0.992513344426063,14070019869575926
"Maize",2015,0.987792919554462,13419708575675652
"Maize",2016,0.994631449154685,15467656820143720
"Maize",2017,0.992319375815447,15105888325531262
"Maize",2018,0.991407547544189,14737093244996910
"Maize",2019,0.991299012085416,14220198833625120
"Maize",2020,0.990607495281594,14739036886799674
"Oats",2005,0.967695745553121,27015929170872.8
"Oats",2006,0.960226953222976,25289644123465.2
"Oats",2007,0.968579693146308,20711505264370.6
"Oats",2008,0.968646629761711,19432592874274.8
"Oats",2009,0.984403711919417,17713462527662.3
"Oats",2010,0.979958478118026,14155027479054.1
"Oats",2011,0.974594354954431,15924530784234.6
"Oats",2012,0.976569181144319,15740404309931.5
"Oats",2013,0.966358545648682,17977471248948.1
"Oats",2014,0.979034979363807,13750064435215.9
"Oats",2015,0.962094235117589,14236502417678.5
"Oats",2016,0.972976469134203,19298555584001.1
"Oats",2017,0.978051343327208,16048379092070.2
"Oats",2018,0.981431687805492,15055338689091.3
"Oats",2019,0.968965223505619,13900926202336.4
"Oats",2020,0.968275925292379,18775270742356.1
"Rice",2005,0.978736353359215,1119959958746844
"Rice",2006,0.995193434592073,1299090396641098
"Rice",2007,0.992959292199098,1323726279179926
"Rice",2008,0.998253935491736,1410766008669161
"Rice",2009,0.998435829038863,1436165856951866
"Rice",2010,0.997829211706886,1518393108652485
"Rice",2011,0.997757320289786,1690382718594457
"Rice",2012,0.996291669756752,1667730189390083
"Rice",2013,0.997914774987702,1667350433245456
"Rice",2014,0.997601739200823,1639590844618394
"Rice",2015,0.99856138361548,1620626591431713
"Rice",2016,0.993681492526204,1563290554891635
"Rice",2017,0.996048414523843,1681902494959374
"Rice",2018,0.996983271845151,1711622591496206
"Rice",2019,0.991954159223711,1829225603802844
"Rice",2020,0.984598340551388,1936591231945193
