"Year","Correlation","Covariance"
2005,0.987009363499771,3059008536393684
2006,0.978488627508325,3238169130209255
2007,0.988646985212969,4127451242999408
2008,0.980815750355395,4473764446784184
2009,0.973695331742267,4795911334284705
2010,0.966002864584955,4932028615614612
2011,0.955678732528074,4757727229422432
2012,0.955774530521004,4462667036937814
2013,0.981356347428105,5283716258805423
2014,0.982412543296382,5352152786804034
2015,0.978582788836792,5482558074903995
2016,0.977360116671188,5636972214335439
2017,0.974086481263556,5469631095234529
2018,0.978309303339538,5487697826287375
2019,0.975587624886904,5500726818924361
2020,0.958376137305083,5262512811921286
