"year","r_squared","residual_se","f_statistic","p_value_f"
2005,0.974187483636223,8096673.70538465,4981.79821090349,1.06469740435159e-106
2006,0.957439994163126,10913005.0278269,2969.5033340441,2.3133516071038e-92
2007,0.977422861370693,8818555.79158926,5714.62220342895,1.54121020845218e-110
2008,0.961999536145218,11481925.0206398,3341.64180880619,1.30371443333743e-95
2009,0.948082599056683,13852245.2319383,2410.50015604821,1.15580461074197e-86
2010,0.933161534386338,16034501.1645219,1842.91068635512,2.02939898366642e-79
2011,0.913321839806466,17791946.8946747,1390.87496302728,5.78429963667312e-72
2012,0.913504953192646,17626868.1523498,1394.09894869468,5.03026066112112e-72
2013,0.963060280637431,12458752.9070115,3441.38935643767,2.01120651186896e-96
2014,0.965134405226065,12250153.2064025,3653.96725097839,4.43227642694165e-98
2015,0.957624274607594,13744970.1436768,2982.99092411183,1.73708595956697e-92
2016,0.955232797659518,14137258.0758421,2816.58720444623,6.516002017508e-91
2017,0.948844472980416,15396698.4934412,2541.10748870892,2.53024197194803e-90
2018,0.957089093000692,14389020.2755273,3055.66148352933,1.48956059794567e-95
2019,0.951771213832471,15263753.5169292,2703.62716246086,4.46525772393909e-92
2020,0.918484820555812,19047730.4412059,1543.66856914425,1.86556729260727e-76
