"Year","Correlation","Covariance"
2005,0.803010074709619,746279087270153856
2006,0.810862216721235,773048846539987712
2007,0.822525053641575,740037286080161408
2008,0.788248042490269,599228892298621184
2009,0.850682481039012,630655777607285760
2010,0.792160710596292,887936094263412352
2011,0.749094778878405,853740012626625152
2012,0.718105540159606,879990938821610368
2013,0.744975924153859,862030833524496512
2014,0.772085570333441,1036835985815525248
2015,0.763356651869231,1207579107261749504
2016,0.786874607967688,1555804964085781760
2017,0.811358640106379,1440341726248438016
2018,0.81005891683834,1148710141292819968
2019,0.810653563584387,1317656532595956736
2020,0.826390601965579,1404994309570162176
