"year","r_squared","residual_se","f_statistic","p_value_f"
2005,0.644825180085148,846816161.971388,188.813550310049,4.05903204229083e-25
2006,0.657497534506075,871398439.3556,199.647449223529,6.07904940359435e-26
2007,0.676547463868075,828214646.173922,217.530946220753,3.05803039880709e-27
2008,0.62133497648974,848027258.166033,170.649079114597,1.15484514592632e-23
2009,0.723660683546689,751198516.142699,272.348908055476,8.24290433094292e-31
2010,0.627518591412423,1032732212.90866,175.208566125114,4.88209090436261e-24
2011,0.561142987742887,1161155638.1184,132.979237189605,2.60310960115413e-20
2012,0.515675566807919,1305414639.99241,110.732094589071,4.56577880945221e-18
2013,0.554989127568896,1226008648.12731,129.702155257119,5.3986227070126e-20
2014,0.596116127917115,1229887343.33484,153.499759680072,3.36758673458694e-22
2015,0.582713377953002,1441293233.76283,145.229173678822,1.85933193874971e-21
2016,0.619171648664303,1460497845.67217,169.088911671718,1.55564642674628e-23
2017,0.658302842875273,1316857479.5505,208.069354831002,6.16052318835532e-27
2018,0.656195448749305,1271879633.76718,206.131967151443,8.59980987754539e-27
2019,0.657159200152065,1343160259.08705,207.015015855473,7.38492694916594e-27
2020,0.682921427017032,1309221078.41795,232.609581353834,1.06717415647265e-28
