"year","vif"
2005,1.01535970836647
2006,1.01535970836647
2007,1.01533131586882
2008,1.01533131586882
2009,1.01279295787824
2010,1.01279295787824
2011,1.01246144075568
2012,1.01246144075568
2013,1.01466899245552
2014,1.01466899245552
2015,1.01189527967502
2016,1.01189527967502
2017,1.01253279451809
2018,1.01253279451809
2019,1.01075678260591
2020,1.01075678260591
2005,1.01106953325696
2006,1.01106953325696
2007,1.00980288110124
2008,1.00980288110124
2009,1.01034554764674
2010,1.01034554764674
2011,1.00992240577745
2012,1.00992240577745
2013,1.01118758872437
2014,1.01118758872437
2015,1.01117111438283
2016,1.01117111438283
2017,1.01099682807865
2018,1.01099682807865
2019,1.0103833323104
2020,1.0103833323104
