"Country","Commodity","Min","First_quartile","Median","Mean","Third_quartile","Max","Variance","Std"
"Canada","Maize",0,0,0,0,0,0,0,0
"Mexico","Maize",0,0,0,0,0,0,0,0
"New Zealand","Maize",0,0,0,0,0,0,0,0
"Switzerland","Maize",18.780641601,44.12347839075,66.0103957515,65.4885435238125,79.9368660755,128.39630669,908.979918460876,30.1492938302189
"Türkiye","Maize",0,0,20.617584417,27.7056513143125,51.65555352525,78.75941628,804.116310770668,28.3569446656488
"United Kingdom","Maize",0,0,0,0,0,0,0,0
"United States","Maize",0,0,0,0,0,0,0,0
"Argentina","Maize",-72.56962882,-50.5311739325,-18.092855505,-30.35994856,-13.4238055775,0,682.197875676519,26.1189179652703
"Brazil","Maize",0,0,1.66517595255,8.3770342534375,17.226129399,32.00789062,121.627838155232,11.0285011744676
"Chile","Maize",0,0,0,0.20310517321875,0,1.7759775645,0.311058397635651,0.55772609553046
"China (People's Republic of)","Maize",-16.17311451,31.4555803685,42.466834853,43.501104123425,50.88756634325,116.42281587,902.083291475016,30.0347014547343
"Colombia","Maize",53.266821504,64.11597198175,82.505121266,86.36739883675,110.6470128,137.57453944,643.807683792745,25.3733656378641
"India","Maize",-95.04410123,-36.1055076175,-1.729154473,-11.2159856977,21.945357008,59.343646577,1882.13407071966,43.3835691330215
"Indonesia","Maize",-32.25275509,48.09992102325,68.944100502,71.611779085375,114.2592772475,127.56695395,1894.61754329826,43.5272046345531
"Kazakhstan","Maize",-73.5408547,-37.831082995,-15.881270015,-21.8410920965938,-3.43657223025,20.133490145,684.861331583052,26.1698553985889
"Philippines","Maize",-82.43110105,6.953795883325,32.003571368,18.0255750544437,40.9000673555,65.475213252,1548.28501412894,39.3482529997068
"Russia","Maize",-59.51479035,-15.8257371375,-5.880727385,-9.34299668218125,-0.4254655209,22.050183413,360.649555976822,18.9907755496405
"South Africa","Maize",0,0,0,0,0,0,0,0
"Ukraine","Maize",-42.20128975,-10.95947721675,-3.1285882095,-8.3926292595625,0,14.725850572,239.60038397565,15.4790304598075
"Viet Nam","Maize",-4.599711584,27.2542311515,57.352897149,69.1939767641625,100.370102027,197.69565089,3432.35161568481,58.5862749770354
"European Union","Maize",0,0,0,4.311288095625,0,44.183214563,131.073386339086,11.4487285905067
"Australia","Maize",NA,NA,NA,NA,NA,NA,NA,NA
"Norway","Maize",NA,NA,NA,NA,NA,NA,NA,NA
"Japan","Maize",NA,NA,NA,NA,NA,NA,NA,NA
"Korea","Maize",NA,NA,NA,NA,NA,NA,NA,NA
"Costa Rica","Maize",NA,NA,NA,NA,NA,NA,NA,NA
"Iceland","Maize",NA,NA,NA,NA,NA,NA,NA,NA
"Israel","Maize",NA,NA,NA,NA,NA,NA,NA,NA
"Canada","Oats",0,0,0,0,0,0,0,0
"Mexico","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand","Oats",0,0,0,0,0,0,0,0
"Switzerland","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"Türkiye","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom","Oats",0,0,0,0,0,0,0,0
"United States","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"Chile","Oats",NA,NA,NA,NA,NA,NA,NA,NA
