"Indicator","Time","mean_value","lower_CI","upper_CI"
"Level of consumption (at farm gate)",2005,20500195.3119678,9166029.5695988,31834361.0543367
"Level of consumption (at farm gate)",2006,21658912.6001275,9761798.97101623,33556026.2292387
"Level of consumption (at farm gate)",2007,22629860.7969447,9430250.45893682,35829471.1349526
"Level of consumption (at farm gate)",2008,22782199.6746711,9535174.81746462,36029224.5318776
"Level of consumption (at farm gate)",2009,23238899.7628725,9565963.3640141,36911836.161731
"Level of consumption (at farm gate)",2010,23739556.9864193,9790645.72314264,37688468.2496959
"Level of consumption (at farm gate)",2011,23971301.3703554,10379822.16393,37562780.5767809
"Level of consumption (at farm gate)",2012,23893151.1371503,10413531.7147819,37372770.5595186
"Level of consumption (at farm gate)",2013,24861035.4242325,10282098.0488535,39439972.7996115
"Level of consumption (at farm gate)",2014,25257933.7875977,10502870.5624516,40012997.0127437
"Level of consumption (at farm gate)",2015,25534524.2125755,10517519.3389739,40551529.0861771
"Level of consumption (at farm gate)",2016,25894660.8174511,10867279.6462468,40922041.9886554
"Level of consumption (at farm gate)",2017,26298938.9671462,11272524.2541963,41325353.6800962
"Level of consumption (at farm gate)",2018,26848320.9828706,11515522.6163763,42181119.3493649
"Level of consumption (at farm gate)",2019,26961220.6118574,11619211.879916,42303229.3437988
"Level of consumption (at farm gate)",2020,26803278.0258531,12076828.9803718,41529727.0713344
"Level of production",2005,24088937.1200055,10152756.8921838,38025117.3478272
"Level of production",2006,24064893.0107348,9888164.14466346,38241621.8768061
"Level of production",2007,25817292.2560814,9697720.80043142,41936863.7117314
"Level of production",2008,27637361.9988068,10088812.3642857,45185911.6333279
"Level of production",2009,28352269.4926822,9992798.59902304,46711740.3863414
"Level of production",2010,28429368.7374768,9774991.3267833,47083746.1481703
"Level of production",2011,29315398.2719753,10647527.3182926,47983269.225658
"Level of production",2012,28385100.1265975,10731418.1716849,46038782.0815101
"Level of production",2013,30810830.3459874,11989046.639787,49632614.0521878
"Level of production",2014,31287943.2337092,12470204.8609342,50105681.6064841
"Level of production",2015,31334908.9224419,12320788.3764877,50349029.4683961
"Level of production",2016,32452968.3557363,12892381.6933597,52013555.0181128
"Level of production",2017,31388645.1886021,13048120.2198473,49729170.1573569
"Level of production",2018,30951569.2382308,12995999.3023875,48907139.174074
"Level of production",2019,30884830.363102,12847254.0157705,48922406.7104335
"Level of production",2020,31482231.8151987,13181614.106392,49782849.5240054
"Producer price (at farm gate)",2005,795112425.151191,485862080.975339,1104362769.32704
"Producer price (at farm gate)",2006,845651668.616516,521424449.783904,1169878887.44913
"Producer price (at farm gate)",2007,855625456.740976,538760442.267661,1172490471.21429
"Producer price (at farm gate)",2008,868049864.531841,567231818.790172,1168867910.27351
"Producer price (at farm gate)",2009,868874456.888992,556934083.575102,1180814830.20288
"Producer price (at farm gate)",2010,1050418686.96685,680452197.858386,1420385176.07531
"Producer price (at farm gate)",2011,1137698804.45074,753570562.509743,1521827046.39173
"Producer price (at farm gate)",2012,1224521609.53208,813521922.912277,1635521296.15188
"Producer price (at farm gate)",2013,1153564220.48767,751986708.157654,1555141732.81768
"Producer price (at farm gate)",2014,1164833592.13016,742318043.388236,1587349140.87208
"Producer price (at farm gate)",2015,1305980664.07575,818996905.311671,1792964422.83982
"Producer price (at farm gate)",2016,1302500203.26736,787275077.87866,1817725328.65605
"Producer price (at farm gate)",2017,1276374031.701,795281601.106879,1757466462.29512
"Producer price (at farm gate)",2018,1202298277.08771,739915616.704197,1664680937.47122
"Producer price (at farm gate)",2019,1248412305.26079,759885305.720533,1736939304.80105
"Producer price (at farm gate)",2020,1255278855.65098,760364968.726287,1750192742.57567
