"Country","Consumption price","Level of consumption (at farm gate)","Level of production","Market Price Differential","Producer price (at farm gate)"
"Argentina",0.583333333333333,0.516666666666667,0.616666666666667,0.4,0.583333333333333
"Australia",0.544444444444444,0.555555555555556,0.566666666666667,0,0.544444444444444
"Brazil",0.571428571428571,0.647619047619048,0.542857142857143,0.155555555555556,0.571428571428571
"Canada",0.64,0.613333333333333,0.6,0.0166666666666667,0.64
"Chile",0.566666666666667,0.583333333333333,0.466666666666667,0.177777777777778,0.566666666666667
"China (People's Republic of)",0.7,0.744444444444444,0.711111111111111,0.52,0.7
"Colombia",0.546666666666667,0.6,0.48,0.426666666666667,0.546666666666667
"Costa Rica",0.583333333333333,0.483333333333333,0.466666666666667,0.266666666666667,0.583333333333333
"European Union",0.571428571428571,0.523809523809524,0.542857142857143,0.188888888888889,0.561904761904762
"Iceland",0.6,0.6,0.666666666666667,0.333333333333333,0.6
"India",0.633333333333333,0.622222222222222,0.677777777777778,0.466666666666667,0.633333333333333
"Indonesia",0.688888888888889,0.677777777777778,0.622222222222222,0.377777777777778,0.688888888888889
"Israel",0.566666666666667,0.533333333333333,0.6,0.466666666666667,0.566666666666667
"Japan",0.56,0.44,0.493333333333333,0.366666666666667,0.56
"Kazakhstan",0.6,0.65,0.7,0.511111111111111,0.6
"Korea",0.6,0.511111111111111,0.488888888888889,0.622222222222222,0.644444444444444
"Mexico",0.580952380952381,0.542857142857143,0.60952380952381,0.177777777777778,0.580952380952381
"New Zealand",0.5,0.45,0.516666666666667,0,0.5
"Norway",0.555555555555556,0.555555555555556,0.511111111111111,0.433333333333333,0.6
"OECD - Total",NA,0.558333333333333,0.55,NA,NA
"Philippines",0.7,0.583333333333333,0.566666666666667,0.633333333333333,0.7
"Russia",0.533333333333333,0.573333333333333,0.573333333333333,0.466666666666667,0.533333333333333
"South Africa",0.466666666666667,0.65,0.516666666666667,0.2,0.483333333333333
"Switzerland",0.55,0.5,0.533333333333333,0.377777777777778,0.55
"Türkiye",0.483333333333333,0.65,0.55,0.4,0.483333333333333
"Ukraine",0.613333333333333,0.386666666666667,0.413333333333333,0.433333333333333,0.613333333333333
"United Kingdom",0.466666666666667,0.466666666666667,0.4,0.166666666666667,0.466666666666667
"United States",0.577777777777778,0.588888888888889,0.511111111111111,0.106666666666667,0.577777777777778
"Viet Nam",0.653333333333333,0.746666666666667,0.706666666666667,0.52,0.653333333333333
