"Country","Indicator","Value_2020","Forecast_2025","High_80","Low_80","Probability"
"Argentina","Consumption price",2675510039.422,"2675510039.422","3937288368.3677","1413731710.4763","0.5"
"Argentina","Level of consumption (at farm gate)",83320808.084,"83320808.084","114894997.702813","51746618.4651871","0.5"
"Argentina","Level of production",127271448.194,"127271448.194","177765401.701763","76777494.6862366","0.5"
"Argentina","Market Price Differential",-134123745.71,"-623165766.133125","-79036309.7629412","-1167295222.50331","0.0182716798337035"
"Argentina","Producer price (at farm gate)",2675510039.422,"2675510039.422","3937288368.3677","1413731710.4763","0.5"
"Australia","Consumption price",4315901941.94,"4315901941.94","5169926053.38395","3461877830.49605","0.5"
"Australia","Level of consumption (at farm gate)",12192136.845794,"","","",""
"Australia","Level of production",42500816.198791,"32186162.8642953","41311002.4077737","23061323.3208168","0.00427317581025266"
"Australia","Market Price Differential",0,"","","",""
"Australia","Producer price (at farm gate)",4315901941.94,"4315901941.94","5169926053.38395","3461877830.49605","0.5"
"Brazil","Consumption price",4481363458.493,"4481363458.493","6604109049.06837","2358617867.91763","0.5"
"Brazil","Level of consumption (at farm gate)",536307711.312,"536307711.312","647576804.328501","425038618.295499","0.5"
"Brazil","Level of production",898970167.9,"998242060.714887","1243712288.84839","752771832.581384","0.826598998698622"
"Brazil","Market Price Differential",37566013.6381,"37566013.6381","177478866.481063","-102346839.204863","0.5"
"Brazil","Producer price (at farm gate)",4481363458.493,"4481363458.493","6604109049.06837","2358617867.91763","0.5"
"Canada","Consumption price",3996723112.67,"3996723112.67","5312479355.85534","2680966869.48466","0.5"
"Canada","Level of consumption (at farm gate)",27873740,"27873740","31553235.7239526","24194244.2760474","0.5"
"Canada","Level of production",61217270.1838,"61217270.1838","76393891.6604124","46040648.7071876","0.5"
"Canada","Market Price Differential",0,"","","",""
"Canada","Producer price (at farm gate)",3996723112.67,"3996723112.67","5312479355.85534","2680966869.48466","0.5"
"Chile","Consumption price",3315541860.18,"3315541860.18","4443973263.92419","2187110456.43581","0.5"
"Chile","Level of consumption (at farm gate)",6799215.14558,"6799215.14558","7953046.13724308","5645384.15391692","0.5"
"Chile","Level of production",2091720.42515,"2091720.42515","3302079.7882485","881361.062051499","0.5"
"Chile","Market Price Differential",16462486.378,"","","",""
"Chile","Producer price (at farm gate)",3315541860.18,"3315541860.18","4443973263.92419","2187110456.43581","0.5"
"China (People's Republic of)","Consumption price",10237393582.95,"12866247565.3978","14716219268.8611","11016275861.9346","0.999526464768602"
"China (People's Republic of)","Level of consumption (at farm gate)",718055000,"826549352.998967","905326108.570678","747772597.427256","0.999322184699202"
"China (People's Republic of)","Level of production",579713360,"603804735.368905","665260184.517184","542349286.220626","0.819105148970781"
"China (People's Republic of)","Market Price Differential",1801007144.069,"1801007144.069","2643729111.27842","958285176.85958","0.5"
"China (People's Republic of)","Producer price (at farm gate)",10237393582.95,"12866247565.3978","14716219268.8611","11016275861.9346","0.999526464768602"
"Colombia","Consumption price",6194154381.15,"6194154381.15","8252999641.9423","4135309120.3577","0.5"
"Colombia","Level of consumption (at farm gate)",12349452.96472,"12349452.96472","14651846.3370276","10047059.5924124","0.5"
"Colombia","Level of production",7039427.2205,"6689205.46055875","7114089.11427472","6264321.80684279","0.0275837494633028"
"Colombia","Market Price Differential",380586818.804,"380586818.804","926027152.956793","-164853515.348793","0.5"
"Colombia","Producer price (at farm gate)",6194154381.15,"6194154381.15","8252999641.9423","4135309120.3577","0.5"
"Costa Rica","Consumption price",6478883191.06,"6478883191.06","8806387848.55644","4151378533.56356","0.5"
"Costa Rica","Level of consumption (at farm gate)",698731.020338,"699124.759847875","749960.78514024","648288.73455551","0.507187843857521"
"Costa Rica","Level of production",739322.99194,"781712.599641502","846538.10781601","716887.091466994","0.935895966998466"
"Costa Rica","Market Price Differential",343825829.55,"343825829.55","633895096.542268","53756562.5577319","0.5"
"Costa Rica","Producer price (at farm gate)",6478883191.06,"6478883191.06","8806387848.55644","4151378533.56356","0.5"
"European Union","Consumption price",4622949839.72,"4622949839.72","5420305690.63681","3825593988.80319","0.5"
"European Union","Level of consumption (at farm gate)",258029617.1574,"258029617.1574","277928246.583577","238130987.731223","0.5"
"European Union","Level of production",238306464.6082,"238306464.6082","296333455.063128","180279474.153272","0.5"
"European Union","Market Price Differential",490606922.6936,"931151509.5191","1395255820.90599","467047198.13221","0.986386696057403"
"European Union","Producer price (at farm gate)",4621802576.94,"4621802576.94","5420263621.51666","3823341532.36334","0.5"
"Iceland","Consumption price",3377100971.3,"3377100971.3","5144135924.09127","1610066018.50873","0.5"
"Iceland","Level of consumption (at farm gate)",4667,"4667","5586.92024109884","3747.07975890116","0.5"
"Iceland","Level of production",4859,"4859","5758.36006415597","3959.63993584403","0.5"
"Iceland","Market Price Differential",0,"","","",""
"Iceland","Producer price (at farm gate)",3377100971.3,"3377100971.3","5144135924.09127","1610066018.50873","0.5"
"India","Consumption price",2680418636.35,"2680418636.35","3384061189.34757","1976776083.35243","0.5"
"India","Level of consumption (at farm gate)",298880338.236,"298880338.236","359511119.891883","238249556.580117","0.5"
"India","Level of production",321710350.786,"360424965.661609","394858303.874347","325991627.448871","0.99554639105947"
"India","Market Price Differential",-362977859.683,"-389563759.67695","-100857260.407456","-678270258.946444","0.415185932886046"
"India","Producer price (at farm gate)",2680418636.35,"2680418636.35","3384061189.34757","1976776083.35243","0.5"
"Indonesia","Consumption price",8841812377.92,"10324093281.2057","12263320691.8813","8384865870.53014","0.962313090064656"
"Indonesia","Level of consumption (at farm gate)",83789090.323,"","","",""
"Indonesia","Level of production",85789000,"","","",""
"Indonesia","Market Price Differential",2233171949.143,"","","",""
"Indonesia","Producer price (at farm gate)",8841812377.92,"10324093281.2057","12263320691.8813","8384865870.53014","0.962313090064656"
"Israel","Consumption price",5457210983.25,"5457210983.25","7736407504.4377","3178014462.0623","0.5"
"Israel","Level of consumption (at farm gate)",921756,"935219.913506812","996343.260169995","874096.56684363","0.695826724852551"
"Israel","Level of production",161197.46,"187788.058891375","237700.737784064","137875.379998686","0.892390949891408"
"Israel","Market Price Differential",0,"","","",""
"Israel","Producer price (at farm gate)",5457210983.25,"5457210983.25","7736407504.4377","3178014462.0623","0.5"
"Japan","Consumption price",15802226258.27,"15802226258.27","19922437365.2267","11682015151.3133","0.5"
"Japan","Level of consumption (at farm gate)",21188780.7143,"","","",""
"Japan","Level of production",10563999.5,"10563999.5","11451946.6145055","9676052.38549445","0.5"
"Japan","Market Price Differential",4520927976.187,"4520927976.187","5882001034.84743","3159854917.52656","0.5"
"Japan","Producer price (at farm gate)",15801851505.35,"15801851505.35","19922004548.4561","11681698462.2439","0.5"
"Kazakhstan","Consumption price",3371607942.92,"","","",""
