"Country","Commodity","Indicator","Measure","Time","Unit","Value"
"Australia","Wheat","Consumption price","Euro",2005,"Euro",124268099.68
"Australia","Wheat","Consumption price","Euro",2006,"Euro",145167772.41
"Australia","Wheat","Consumption price","Euro",2007,"Euro",238368691.57
"Australia","Wheat","Consumption price","Euro",2008,"Euro",160552958.59
"Australia","Wheat","Consumption price","Euro",2009,"Euro",122517988.26
"Australia","Wheat","Consumption price","Euro",2010,"Euro",178184955.22
"Australia","Wheat","Consumption price","Euro",2011,"Euro",168108008.25
"Australia","Wheat","Consumption price","Euro",2012,"Euro",252093714.76
"Australia","Wheat","Consumption price","Euro",2013,"Euro",242681380.01
"Australia","Wheat","Consumption price","Euro",2014,"Euro",203841573.59
"Australia","Wheat","Consumption price","Euro",2015,"Euro",196671532.68
"Australia","Wheat","Consumption price","Euro",2016,"Euro",166141013.74
"Australia","Wheat","Consumption price","Euro",2017,"Euro",185074356.6
"Australia","Wheat","Consumption price","Euro",2018,"Euro",222546459.05
"Australia","Wheat","Consumption price","Euro",2019,"Euro",212177515.42
"Australia","Wheat","Consumption price","Euro",2020,"Euro",186535025.68
"Canada","Wheat","Consumption price","Euro",2005,"Euro",82978176.242
"Canada","Wheat","Consumption price","Euro",2006,"Euro",107060425.09
"Canada","Wheat","Consumption price","Euro",2007,"Euro",206087109.98
"Canada","Wheat","Consumption price","Euro",2008,"Euro",143580357.69
"Canada","Wheat","Consumption price","Euro",2009,"Euro",97106383.695
"Canada","Wheat","Consumption price","Euro",2010,"Euro",159102347.2
"Canada","Wheat","Consumption price","Euro",2011,"Euro",147630526.05
"Canada","Wheat","Consumption price","Euro",2012,"Euro",206370243.12
"Canada","Wheat","Consumption price","Euro",2013,"Euro",155563361.47
"Canada","Wheat","Consumption price","Euro",2014,"Euro",170205915.47
"Canada","Wheat","Consumption price","Euro",2015,"Euro",204036833.07
"Canada","Wheat","Consumption price","Euro",2016,"Euro",171397565.47
"Canada","Wheat","Consumption price","Euro",2017,"Euro",172534289.78
"Canada","Wheat","Consumption price","Euro",2018,"Euro",132994829.72
"Canada","Wheat","Consumption price","Euro",2019,"Euro",141133366.62
"Canada","Wheat","Consumption price","Euro",2020,"Euro",143985065.47
"Japan","Wheat","Consumption price","Euro",2005,"Euro",266810272.57
"Japan","Wheat","Consumption price","Euro",2006,"Euro",254645921.8
"Japan","Wheat","Consumption price","Euro",2007,"Euro",240035459.04
"Japan","Wheat","Consumption price","Euro",2008,"Euro",272367320.15
"Japan","Wheat","Consumption price","Euro",2009,"Euro",438704071.57
"Japan","Wheat","Consumption price","Euro",2010,"Euro",452627008.79
"Japan","Wheat","Consumption price","Euro",2011,"Euro",418736896.38
"Japan","Wheat","Consumption price","Euro",2012,"Euro",541587385.08
"Japan","Wheat","Consumption price","Euro",2013,"Euro",362608849.59
"Japan","Wheat","Consumption price","Euro",2014,"Euro",334453436.41
"Japan","Wheat","Consumption price","Euro",2015,"Euro",343290102.53
"Japan","Wheat","Consumption price","Euro",2016,"Euro",416806895.79
"Japan","Wheat","Consumption price","Euro",2017,"Euro",377591493.22
"Japan","Wheat","Consumption price","Euro",2018,"Euro",380935318.99
"Japan","Wheat","Consumption price","Euro",2019,"Euro",468114282.97
"Japan","Wheat","Consumption price","Euro",2020,"Euro",495245829.89
"Mexico","Wheat","Consumption price","Euro",2005,"Euro",121089103.57
"Mexico","Wheat","Consumption price","Euro",2006,"Euro",123861817.65
"Mexico","Wheat","Consumption price","Euro",2007,"Euro",138428479.96
"Mexico","Wheat","Consumption price","Euro",2008,"Euro",186957074.56
