"Country","Commodity","Indicator","Measure","Time","Unit","Value"
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2005,"Tonnes",6622900
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2006,"Tonnes",7416000
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2007,"Tonnes",6512000
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2008,"Tonnes",7293000
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2009,"Tonnes",4998000
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2010,"Tonnes",6088000
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2011,"Tonnes",6334095.4811
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2012,"Tonnes",6590108.9419
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2013,"Tonnes",6815098.9754
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2014,"Tonnes",7153929.8937
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2015,"Tonnes",7195055.5506
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2016,"Tonnes",8218060.8449
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2017,"Tonnes",8089077.5144
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2018,"Tonnes",9119636.3557
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2019,"Tonnes",8714250
"Australia","Wheat","Level of consumption (at farm gate)","Tonnes",2020,"Tonnes",8308000
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2005,"Tonnes",8300500
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2006,"Tonnes",8696100
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2007,"Tonnes",6756100
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2008,"Tonnes",7759100
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2009,"Tonnes",7488000
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2010,"Tonnes",7567100
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2011,"Tonnes",9294400
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2012,"Tonnes",8561500
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2013,"Tonnes",8862400
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2014,"Tonnes",8870400
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2015,"Tonnes",7973400
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2016,"Tonnes",10341200
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2017,"Tonnes",8747033
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2018,"Tonnes",8897268
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2019,"Tonnes",9137678
"Canada","Wheat","Level of consumption (at farm gate)","Tonnes",2020,"Tonnes",8681900
"Japan","Wheat","Level of consumption (at farm gate)","Tonnes",2005,"Tonnes",6213000
"Japan","Wheat","Level of consumption (at farm gate)","Tonnes",2006,"Tonnes",6228000
"Japan","Wheat","Level of consumption (at farm gate)","Tonnes",2007,"Tonnes",6348000
