"Country","Commodity","Indicator","Measure","Time","Unit","Value"
"Canada","Maize","Market Price Differential","Euro",2005,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2006,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2007,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2008,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2009,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2010,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2011,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2012,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2013,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2014,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2015,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2016,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2017,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2018,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2019,"Euro",0
"Canada","Maize","Market Price Differential","Euro",2020,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2005,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2006,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2007,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2008,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2009,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2010,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2011,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2012,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2013,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2014,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2015,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2016,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2017,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2018,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2019,"Euro",0
"Mexico","Maize","Market Price Differential","Euro",2020,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2005,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2006,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2007,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2008,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2009,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2010,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2011,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2012,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2013,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2014,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2015,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2016,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2017,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2018,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2019,"Euro",0
"New Zealand","Maize","Market Price Differential","Euro",2020,"Euro",0
"Switzerland","Maize","Market Price Differential","Euro",2005,"Euro",128396306.69
"Switzerland","Maize","Market Price Differential","Euro",2006,"Euro",117099915.13
"Switzerland","Maize","Market Price Differential","Euro",2007,"Euro",44225809.152
"Switzerland","Maize","Market Price Differential","Euro",2008,"Euro",23589915.172
"Switzerland","Maize","Market Price Differential","Euro",2009,"Euro",58926070.208
"Switzerland","Maize","Market Price Differential","Euro",2010,"Euro",83755586.23
"Switzerland","Maize","Market Price Differential","Euro",2011,"Euro",44987714.03
"Switzerland","Maize","Market Price Differential","Euro",2012,"Euro",71884249.203
"Switzerland","Maize","Market Price Differential","Euro",2013,"Euro",43816486.107
"Switzerland","Maize","Market Price Differential","Euro",2014,"Euro",18780641.601
"Switzerland","Maize","Market Price Differential","Euro",2015,"Euro",79377249.74
"Switzerland","Maize","Market Price Differential","Euro",2016,"Euro",79766241.022
"Switzerland","Maize","Market Price Differential","Euro",2017,"Euro",72110363.576
"Switzerland","Maize","Market Price Differential","Euro",2018,"Euro",40514864.984
"Switzerland","Maize","Market Price Differential","Euro",2019,"Euro",60136542.3
"Switzerland","Maize","Market Price Differential","Euro",2020,"Euro",80448741.236
"Türkiye","Maize","Market Price Differential","Euro",2005,"Euro",51453351.934
"Türkiye","Maize","Market Price Differential","Euro",2006,"Euro",78759416.28
"Türkiye","Maize","Market Price Differential","Euro",2007,"Euro",76618706.074
"Türkiye","Maize","Market Price Differential","Euro",2008,"Euro",26138232.179
"Türkiye","Maize","Market Price Differential","Euro",2009,"Euro",52262158.299
"Türkiye","Maize","Market Price Differential","Euro",2010,"Euro",64673556.834
"Türkiye","Maize","Market Price Differential","Euro",2011,"Euro",12604074.352
"Türkiye","Maize","Market Price Differential","Euro",2012,"Euro",0
"Türkiye","Maize","Market Price Differential","Euro",2013,"Euro",0
"Türkiye","Maize","Market Price Differential","Euro",2014,"Euro",27752861.868
"Türkiye","Maize","Market Price Differential","Euro",2015,"Euro",27593403.815
"Türkiye","Maize","Market Price Differential","Euro",2016,"Euro",15096936.655
"Türkiye","Maize","Market Price Differential","Euro",2017,"Euro",10337722.739
"Türkiye","Maize","Market Price Differential","Euro",2018,"Euro",0
"Türkiye","Maize","Market Price Differential","Euro",2019,"Euro",0
"Türkiye","Maize","Market Price Differential","Euro",2020,"Euro",0
"United Kingdom","Maize","Market Price Differential","Euro",2017,"Euro",0
"United Kingdom","Maize","Market Price Differential","Euro",2018,"Euro",0
"United Kingdom","Maize","Market Price Differential","Euro",2019,"Euro",0
"United Kingdom","Maize","Market Price Differential","Euro",2020,"Euro",0
"United States","Maize","Market Price Differential","Euro",2005,"Euro",0
"United States","Maize","Market Price Differential","Euro",2006,"Euro",0
"United States","Maize","Market Price Differential","Euro",2007,"Euro",0
"United States","Maize","Market Price Differential","Euro",2008,"Euro",0
"United States","Maize","Market Price Differential","Euro",2009,"Euro",0
"United States","Maize","Market Price Differential","Euro",2010,"Euro",0
"United States","Maize","Market Price Differential","Euro",2011,"Euro",0
"United States","Maize","Market Price Differential","Euro",2012,"Euro",0
"United States","Maize","Market Price Differential","Euro",2013,"Euro",0
"United States","Maize","Market Price Differential","Euro",2014,"Euro",0
"United States","Maize","Market Price Differential","Euro",2015,"Euro",0
"United States","Maize","Market Price Differential","Euro",2016,"Euro",0
"United States","Maize","Market Price Differential","Euro",2017,"Euro",0
"United States","Maize","Market Price Differential","Euro",2018,"Euro",0
"United States","Maize","Market Price Differential","Euro",2019,"Euro",0
"United States","Maize","Market Price Differential","Euro",2020,"Euro",0
"Argentina","Maize","Market Price Differential","Euro",2005,"Euro",-12685898.9
"Argentina","Maize","Market Price Differential","Euro",2006,"Euro",-13697627.15
"Argentina","Maize","Market Price Differential","Euro",2007,"Euro",-15020865.83
"Argentina","Maize","Market Price Differential","Euro",2008,"Euro",-51944855.66
"Argentina","Maize","Market Price Differential","Euro",2009,"Euro",-37647110.23
"Argentina","Maize","Market Price Differential","Euro",2010,"Euro",-18729363.47
"Argentina","Maize","Market Price Differential","Euro",2011,"Euro",-70571123.33
"Argentina","Maize","Market Price Differential","Euro",2012,"Euro",-72569628.82
"Argentina","Maize","Market Price Differential","Euro",2013,"Euro",-70963589.72
"Argentina","Maize","Market Price Differential","Euro",2014,"Euro",-40743045.15
"Argentina","Maize","Market Price Differential","Euro",2015,"Euro",-50059946.69
"Argentina","Maize","Market Price Differential","Euro",2016,"Euro",0
"Argentina","Maize","Market Price Differential","Euro",2017,"Euro",0
"Argentina","Maize","Market Price Differential","Euro",2018,"Euro",-13669774.47
"Argentina","Maize","Market Price Differential","Euro",2019,"Euro",-17456347.54
"Argentina","Maize","Market Price Differential","Euro",2020,"Euro",0
"Brazil","Maize","Market Price Differential","Euro",2005,"Euro",32007890.62
"Brazil","Maize","Market Price Differential","Euro",2006,"Euro",17206519.072
"Brazil","Maize","Market Price Differential","Euro",2007,"Euro",18580860.51
"Brazil","Maize","Market Price Differential","Euro",2008,"Euro",27810797.129
"Brazil","Maize","Market Price Differential","Euro",2009,"Euro",4462911.3769
"Brazil","Maize","Market Price Differential","Euro",2010,"Euro",0
"Brazil","Maize","Market Price Differential","Euro",2011,"Euro",13348257.062
"Brazil","Maize","Market Price Differential","Euro",2012,"Euro",0
"Brazil","Maize","Market Price Differential","Euro",2013,"Euro",0
"Brazil","Maize","Market Price Differential","Euro",2014,"Euro",0
"Brazil","Maize","Market Price Differential","Euro",2015,"Euro",0
