"Country","Commodity","Indicator","Measure","Time","Unit","Value"
"Australia","Wheat","Level of production","Tonnes",2005,"Tonnes",25150000
"Australia","Wheat","Level of production","Tonnes",2006,"Tonnes",10822000
"Australia","Wheat","Level of production","Tonnes",2007,"Tonnes",13569000
"Australia","Wheat","Level of production","Tonnes",2008,"Tonnes",21420000
"Australia","Wheat","Level of production","Tonnes",2009,"Tonnes",21834000
"Australia","Wheat","Level of production","Tonnes",2010,"Tonnes",27410100
"Australia","Wheat","Level of production","Tonnes",2011,"Tonnes",29905009
"Australia","Wheat","Level of production","Tonnes",2012,"Tonnes",22855576.15
"Australia","Wheat","Level of production","Tonnes",2013,"Tonnes",27009138.048
"Australia","Wheat","Level of production","Tonnes",2014,"Tonnes",23742559.54
"Australia","Wheat","Level of production","Tonnes",2015,"Tonnes",24193229.391
"Australia","Wheat","Level of production","Tonnes",2016,"Tonnes",35009400.344
"Australia","Wheat","Level of production","Tonnes",2017,"Tonnes",20270347.882
"Australia","Wheat","Level of production","Tonnes",2018,"Tonnes",17597560.79
"Australia","Wheat","Level of production","Tonnes",2019,"Tonnes",14480217.44
"Australia","Wheat","Level of production","Tonnes",2020,"Tonnes",33336500
"Canada","Wheat","Level of production","Tonnes",2005,"Tonnes",25748100
"Canada","Wheat","Level of production","Tonnes",2006,"Tonnes",25265400
"Canada","Wheat","Level of production","Tonnes",2007,"Tonnes",20090400
"Canada","Wheat","Level of production","Tonnes",2008,"Tonnes",28619200
"Canada","Wheat","Level of production","Tonnes",2009,"Tonnes",26949900
"Canada","Wheat","Level of production","Tonnes",2010,"Tonnes",23299600
"Canada","Wheat","Level of production","Tonnes",2011,"Tonnes",25288000
"Canada","Wheat","Level of production","Tonnes",2012,"Tonnes",27246000
"Canada","Wheat","Level of production","Tonnes",2013,"Tonnes",37589100
"Canada","Wheat","Level of production","Tonnes",2014,"Tonnes",29442100
"Canada","Wheat","Level of production","Tonnes",2015,"Tonnes",27647400
"Canada","Wheat","Level of production","Tonnes",2016,"Tonnes",32139800
"Canada","Wheat","Level of production","Tonnes",2017,"Tonnes",30377300
"Canada","Wheat","Level of production","Tonnes",2018,"Tonnes",32351900
"Canada","Wheat","Level of production","Tonnes",2019,"Tonnes",32669800
"Canada","Wheat","Level of production","Tonnes",2020,"Tonnes",35183000
"Japan","Wheat","Level of production","Tonnes",2005,"Tonnes",875000
"Japan","Wheat","Level of production","Tonnes",2006,"Tonnes",837000
"Japan","Wheat","Level of production","Tonnes",2007,"Tonnes",910100
"Japan","Wheat","Level of production","Tonnes",2008,"Tonnes",881200
"Japan","Wheat","Level of production","Tonnes",2009,"Tonnes",674600
"Japan","Wheat","Level of production","Tonnes",2010,"Tonnes",571300
"Japan","Wheat","Level of production","Tonnes",2011,"Tonnes",746300
"Japan","Wheat","Level of production","Tonnes",2012,"Tonnes",857800
"Japan","Wheat","Level of production","Tonnes",2013,"Tonnes",811700
"Japan","Wheat","Level of production","Tonnes",2014,"Tonnes",852400
"Japan","Wheat","Level of production","Tonnes",2015,"Tonnes",1004000
"Japan","Wheat","Level of production","Tonnes",2016,"Tonnes",790800
"Japan","Wheat","Level of production","Tonnes",2017,"Tonnes",906700
"Japan","Wheat","Level of production","Tonnes",2018,"Tonnes",764900
"Japan","Wheat","Level of production","Tonnes",2019,"Tonnes",1037000
"Japan","Wheat","Level of production","Tonnes",2020,"Tonnes",949300
"Mexico","Wheat","Level of production","Tonnes",2005,"Tonnes",3015200
"Mexico","Wheat","Level of production","Tonnes",2006,"Tonnes",3378116
"Mexico","Wheat","Level of production","Tonnes",2007,"Tonnes",3515392
"Mexico","Wheat","Level of production","Tonnes",2008,"Tonnes",4213545
"Mexico","Wheat","Level of production","Tonnes",2009,"Tonnes",4116160
"Mexico","Wheat","Level of production","Tonnes",2010,"Tonnes",3676707
"Mexico","Wheat","Level of production","Tonnes",2011,"Tonnes",3627510.83
"Mexico","Wheat","Level of production","Tonnes",2012,"Tonnes",3274336.75
"Mexico","Wheat","Level of production","Tonnes",2013,"Tonnes",3357306.9
"Mexico","Wheat","Level of production","Tonnes",2014,"Tonnes",3669813.71
"Mexico","Wheat","Level of production","Tonnes",2015,"Tonnes",3710706.27
"Mexico","Wheat","Level of production","Tonnes",2016,"Tonnes",3862914.27
"Mexico","Wheat","Level of production","Tonnes",2017,"Tonnes",3503520.87
"Mexico","Wheat","Level of production","Tonnes",2018,"Tonnes",2943445.12
"Mexico","Wheat","Level of production","Tonnes",2019,"Tonnes",3244062.03
"Mexico","Wheat","Level of production","Tonnes",2020,"Tonnes",2986689.24
"New Zealand","Wheat","Level of production","Tonnes",2005,"Tonnes",261798
"New Zealand","Wheat","Level of production","Tonnes",2006,"Tonnes",344434
"New Zealand","Wheat","Level of production","Tonnes",2007,"Tonnes",343350
"New Zealand","Wheat","Level of production","Tonnes",2008,"Tonnes",403463
"New Zealand","Wheat","Level of production","Tonnes",2009,"Tonnes",444890
"New Zealand","Wheat","Level of production","Tonnes",2010,"Tonnes",383262
"New Zealand","Wheat","Level of production","Tonnes",2011,"Tonnes",488614
"New Zealand","Wheat","Level of production","Tonnes",2012,"Tonnes",447799
"New Zealand","Wheat","Level of production","Tonnes",2013,"Tonnes",413500
"New Zealand","Wheat","Level of production","Tonnes",2014,"Tonnes",413500
"New Zealand","Wheat","Level of production","Tonnes",2015,"Tonnes",459300
"New Zealand","Wheat","Level of production","Tonnes",2016,"Tonnes",405200
"New Zealand","Wheat","Level of production","Tonnes",2017,"Tonnes",371000
"New Zealand","Wheat","Level of production","Tonnes",2018,"Tonnes",398100
"New Zealand","Wheat","Level of production","Tonnes",2019,"Tonnes",453700
